count,true_label,pred_label,true_class,pred_class
3,72,54,8811,8111
3,22,4,1833,1133
3,2,0,1118,1111
2,79,78,8883,8881
2,79,61,8883,8183
2,78,60,8881,8181
2,77,74,8838,8818
2,73,72,8813,8811
2,71,62,8388,8188
2,70,60,8383,8181
2,65,56,8318,8118
2,64,54,8313,8111
2,62,60,8188,8181
2,61,60,8183,8181
2,59,56,8138,8118
2,55,54,8113,8111
2,50,47,3838,3818
2,49,31,3833,3133
2,48,30,3831,3131
2,46,45,3813,3811
2,45,27,3811,3111
2,41,39,3338,3331
2,38,36,3318,3311
2,35,33,3188,3181
2,34,33,3183,3181
2,34,28,3183,3113
2,32,30,3138,3131
2,31,30,3133,3131
2,29,27,3118,3111
2,28,27,3113,3111
2,26,8,1888,1188
2,25,24,1883,1881
2,25,7,1883,1183
2,23,20,1838,1818
2,19,18,1813,1811
2,19,1,1813,1113
2,17,8,1388,1188
2,14,12,1338,1331
2,11,9,1318,1311
2,8,6,1188,1181
2,7,6,1183,1181
2,5,3,1138,1131
2,4,3,1133,1131
2,1,0,1113,1111
1,80,78,8888,8881
1,80,60,8888,8181
1,80,0,8888,1111
1,79,1,8883,1113
1,78,27,8881,3111
1,77,57,8838,8131
