true_gesture,true_name,pred_gesture,pred_name,position,sample_idx,true_class,pred_class,confidence,loss,top2_margin,entropy,event_count,case_dir
3,Right_Arm_CW,1,Right_Hand_Wave,4,1323,8113,8111,0.8479699492454529,3.67244291305542,0.8000195622444153,0.7456531524658203,982196.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_1_Right_Hand_Wave/sample_01323_true_8113_pred_8111_p4
3,Right_Arm_CW,1,Right_Hand_Wave,4,1756,8813,8811,0.8038896918296814,2.736590623855591,0.739098846912384,0.8661075830459595,936940.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_1_Right_Hand_Wave/sample_01756_true_8813_pred_8811_p4
3,Right_Arm_CW,1,Right_Hand_Wave,4,603,1883,1881,0.7896065711975098,3.851785659790039,0.7544295787811279,1.0540924072265625,1328517.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_1_Right_Hand_Wave/sample_00603_true_1883_pred_1881_p4
3,Right_Arm_CW,1,Right_Hand_Wave,4,1467,8183,8181,0.7735785245895386,3.9520182609558105,0.7140786051750183,1.0224225521087646,1272681.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_1_Right_Hand_Wave/sample_01467_true_8183_pred_8181_p4
3,Right_Arm_CW,1,Right_Hand_Wave,4,1900,8883,8881,0.7675926089286804,2.9913101196289062,0.7173709869384766,1.110795497894287,1192204.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_1_Right_Hand_Wave/sample_01900_true_8883_pred_8881_p4
3,Right_Arm_CW,1,Right_Hand_Wave,4,459,1813,1811,0.7598525881767273,3.0918831825256348,0.6792015433311462,1.0504764318466187,904015.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_1_Right_Hand_Wave/sample_00459_true_1813_pred_1811_p4
3,Right_Arm_CW,8,Air_Drums,2,1567,8318,8818,0.8245060443878174,2.0179033279418945,0.6915721297264099,0.6498892903327942,1856574.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_8_Air_Drums/sample_01567_true_8318_pred_8818_p2
3,Right_Arm_CW,8,Air_Drums,2,367,1381,1881,0.7678676843643188,1.7502537965774536,0.5941378474235535,0.8004743456840515,1944255.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_8_Air_Drums/sample_00367_true_1381_pred_1881_p2
3,Right_Arm_CW,8,Air_Drums,2,1063,3388,3888,0.7175806164741516,2.242751121520996,0.6114145517349243,1.0571393966674805,2287358.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_8_Air_Drums/sample_01063_true_3388_pred_3888_p2
3,Right_Arm_CW,8,Air_Drums,2,223,1311,1811,0.7118528485298157,1.458127737045288,0.47918134927749634,0.8664512634277344,2002319.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_8_Air_Drums/sample_00223_true_1311_pred_1811_p2
3,Right_Arm_CW,8,Air_Drums,2,1519,8311,8811,0.7037332057952881,1.3478517532348633,0.44393542408943176,0.8039787411689758,2005361.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_8_Air_Drums/sample_01519_true_8311_pred_8811_p2
3,Right_Arm_CW,8,Air_Drums,2,1015,3381,3881,0.6772230863571167,2.6103785037994385,0.5469136834144592,1.108623743057251,2283380.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_3_Right_Arm_CW_pred_8_Air_Drums/sample_01015_true_3381_pred_3881_p2
8,Air_Drums,1,Right_Hand_Wave,4,993,3338,3331,0.9297117590904236,4.090941429138184,0.9021309018135071,0.3752673864364624,1461888.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_1_Right_Hand_Wave/sample_00993_true_3338_pred_3331_p4
8,Air_Drums,1,Right_Hand_Wave,3,393,1383,1313,0.8840811252593994,3.2878096103668213,0.8467456102371216,0.5359936952590942,1156582.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_1_Right_Hand_Wave/sample_00393_true_1383_pred_1313_p3
8,Air_Drums,1,Right_Hand_Wave,4,345,1338,1331,0.8703104257583618,4.114184379577637,0.8110589981079102,0.5758510828018188,1165788.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_1_Right_Hand_Wave/sample_00345_true_1338_pred_1331_p4
8,Air_Drums,1,Right_Hand_Wave,3,801,3181,3111,0.8662825226783752,3.863111972808838,0.8123959898948669,0.598259687423706,860482.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_1_Right_Hand_Wave/sample_00801_true_3181_pred_3111_p3
8,Air_Drums,1,Right_Hand_Wave,3,1017,3381,3311,0.8493486642837524,2.647184133529663,0.7784982323646545,0.6072796583175659,1117102.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_1_Right_Hand_Wave/sample_01017_true_3381_pred_3311_p3
8,Air_Drums,1,Right_Hand_Wave,1,1929,8888,1111,0.8223458528518677,27.745038986206055,0.743506669998169,0.8235645294189453,1019460.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_1_Right_Hand_Wave/sample_01929_true_8888_pred_1111_p1
8,Air_Drums,3,Right_Arm_CW,1,1377,8131,3131,0.9188843965530396,5.791418075561523,0.8775020837783813,0.38643360137939453,922358.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_3_Right_Arm_CW/sample_01377_true_8131_pred_3131_p1
8,Air_Drums,3,Right_Arm_CW,1,1305,8111,3111,0.9058060050010681,7.458935737609863,0.8676034808158875,0.46938392519950867,586778.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_3_Right_Arm_CW/sample_01305_true_8111_pred_3111_p1
8,Air_Drums,3,Right_Arm_CW,1,1329,8113,3113,0.8711037635803223,5.428712368011475,0.7877666354179382,0.55223548412323,910496.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_3_Right_Arm_CW/sample_01329_true_8113_pred_3113_p1
8,Air_Drums,3,Right_Arm_CW,1,1401,8133,3133,0.8571524620056152,4.523758411407471,0.7455657124519348,0.5402405261993408,1206596.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_3_Right_Arm_CW/sample_01401_true_8133_pred_3133_p1
8,Air_Drums,3,Right_Arm_CW,1,1593,8331,3331,0.8011693954467773,4.786377906799316,0.6371850371360779,0.6491516828536987,1206596.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_3_Right_Arm_CW/sample_01593_true_8331_pred_3331_p1
8,Air_Drums,3,Right_Arm_CW,1,1545,8313,3313,0.7812793850898743,5.4082770347595215,0.6419287919998169,0.7927213907241821,1228992.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_gesture_confusion/true_8_Air_Drums_pred_3_Right_Arm_CW/sample_01545_true_8313_pred_3313_p1
