position,sample_idx,true_class,pred_class,true_gesture,pred_gesture,confidence,loss,top2_margin,entropy,event_count,case_dir
1,1377,8131,3131,8,3,0.9188843965530396,5.791418075561523,0.8775020837783813,0.38643360137939453,922358.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01377_true_8131_pred_3131_p1_8_to_3
1,1305,8111,3111,8,3,0.9058060050010681,7.458935737609863,0.8676034808158875,0.46938392519950867,586778.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01305_true_8111_pred_3111_p1_8_to_3
1,1329,8113,3113,8,3,0.8711037635803223,5.428712368011475,0.7877666354179382,0.55223548412323,910496.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01329_true_8113_pred_3113_p1_8_to_3
1,1401,8133,3133,8,3,0.8571524620056152,4.523758411407471,0.7455657124519348,0.5402405261993408,1206596.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01401_true_8133_pred_3133_p1_8_to_3
1,1929,8888,1111,8,1,0.8223458528518677,27.745038986206055,0.743506669998169,0.8235645294189453,1019460.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01929_true_8888_pred_1111_p1_8_to_1
1,1593,8331,3331,8,3,0.8011693954467773,4.786377906799316,0.6371850371360779,0.6491516828536987,1206596.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01593_true_8331_pred_3331_p1_8_to_3
1,1545,8313,3313,8,3,0.7812793850898743,5.4082770347595215,0.6419287919998169,0.7927213907241821,1228992.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01545_true_8313_pred_3313_p1_8_to_3
1,1521,8311,3311,8,3,0.745665431022644,5.228194236755371,0.6218315958976746,0.9371142983436584,890756.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_1_errors/sample_01521_true_8311_pred_3311_p1_8_to_3
2,1567,8318,8818,3,8,0.8245060443878174,2.0179033279418945,0.6915721297264099,0.6498892903327942,1856574.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_01567_true_8318_pred_8818_p2_3_to_8
2,1929,8888,1111,8,1,0.8223458528518677,27.745038986206055,0.743506669998169,0.8235645294189453,1019460.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_01929_true_8888_pred_1111_p2_8_to_1
2,1185,3833,3133,8,1,0.8162767887115479,4.095689296722412,0.6776262521743774,0.668236255645752,1482956.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_01185_true_3833_pred_3133_p2_8_to_1
2,505,1831,1131,8,1,0.8052944540977478,2.652592897415161,0.7348262071609497,0.7925006151199341,894896.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_00505_true_1831_pred_1131_p2_8_to_1
2,1153,3831,3131,8,1,0.8007615208625793,1.6862633228302002,0.615551233291626,0.5809699296951294,1198316.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_01153_true_3831_pred_3131_p2_8_to_1
2,1281,3888,3111,8,1,0.7746066451072693,17.77117347717285,0.6662511229515076,0.9638463854789734,1145868.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_01281_true_3888_pred_3111_p2_8_to_1
2,367,1381,1881,3,8,0.7678676843643188,1.7502537965774536,0.5941378474235535,0.8004743456840515,1944255.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_00367_true_1381_pred_1881_p2_3_to_8
2,411,1388,1188,3,1,0.7492573261260986,2.304311513900757,0.6494297981262207,1.0888440608978271,1295026.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_2_errors/sample_00411_true_1388_pred_1188_p2_3_to_1
3,393,1383,1313,8,1,0.8840811252593994,3.2878096103668213,0.8467456102371216,0.5359936952590942,1156582.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_00393_true_1383_pred_1313_p3_8_to_1
3,801,3181,3111,8,1,0.8662825226783752,3.863111972808838,0.8123959898948669,0.598259687423706,860482.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_00801_true_3181_pred_3111_p3_8_to_1
3,1017,3381,3311,8,1,0.8493486642837524,2.647184133529663,0.7784982323646545,0.6072796583175659,1117102.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_01017_true_3381_pred_3311_p3_8_to_1
3,1929,8888,1111,8,1,0.8223458528518677,27.745038986206055,0.743506669998169,0.8235645294189453,1019460.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_01929_true_8888_pred_1111_p3_8_to_1
3,1065,3388,3311,8,1,0.8162409067153931,8.972046852111816,0.7379099130630493,0.8132044672966003,1282810.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_01065_true_3388_pred_3311_p3_8_to_1
3,417,1388,1311,8,1,0.7930085062980652,9.210748672485352,0.6951091885566711,0.8549073338508606,1077532.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_00417_true_1388_pred_1311_p3_8_to_1
3,1281,3888,3111,8,1,0.7746066451072693,17.77117347717285,0.6662511229515076,0.9638463854789734,1145868.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_01281_true_3888_pred_3111_p3_8_to_1
3,849,3188,3111,8,1,0.7714051008224487,9.150052070617676,0.6830900311470032,0.9652708172798157,1066998.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_3_errors/sample_00849_true_3188_pred_3111_p3_8_to_1
4,993,3338,3331,8,1,0.9297117590904236,4.090941429138184,0.9021309018135071,0.3752673864364624,1461888.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_00993_true_3338_pred_3331_p4_8_to_1
4,345,1338,1331,8,1,0.8703104257583618,4.114184379577637,0.8110589981079102,0.5758510828018188,1165788.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_00345_true_1338_pred_1331_p4_8_to_1
4,1323,8113,8111,3,1,0.8479699492454529,3.67244291305542,0.8000195622444153,0.7456531524658203,982196.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_01323_true_8113_pred_8111_p4_3_to_1
4,1929,8888,1111,8,1,0.8223458528518677,27.745038986206055,0.743506669998169,0.8235645294189453,1019460.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_01929_true_8888_pred_1111_p4_8_to_1
4,1065,3388,3311,8,1,0.8162409067153931,8.972046852111816,0.7379099130630493,0.8132044672966003,1282810.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_01065_true_3388_pred_3311_p4_8_to_1
4,1756,8813,8811,3,1,0.8038896918296814,2.736590623855591,0.739098846912384,0.8661075830459595,936940.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_01756_true_8813_pred_8811_p4_3_to_1
4,777,3138,3131,8,1,0.8038800358772278,3.0990376472473145,0.7015807628631592,0.7754887938499451,1217130.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_00777_true_3138_pred_3131_p4_8_to_1
4,417,1388,1311,8,1,0.7930085062980652,9.210748672485352,0.6951091885566711,0.8549073338508606,1077532.0,/users/abdekess61/raouf/SResNet/analysis_output_1/05_temporal_analysis/examples_by_position/position_4_errors/sample_00417_true_1388_pred_1311_p4_8_to_1
