label,class_name,support,correct,accuracy
0,1111,24,24,1.0
1,1113,24,23,0.9583333333333334
2,1118,24,24,1.0
3,1131,24,24,1.0
4,1133,24,24,1.0
5,1138,24,24,1.0
6,1181,24,24,1.0
7,1183,24,24,1.0
8,1188,24,23,0.9583333333333334
9,1311,24,24,1.0
10,1313,24,24,1.0
11,1318,24,24,1.0
12,1331,24,24,1.0
13,1333,24,24,1.0
14,1338,24,24,1.0
15,1381,24,24,1.0
16,1383,24,24,1.0
17,1388,24,24,1.0
18,1811,24,23,0.9583333333333334
19,1813,24,24,1.0
20,1818,24,23,0.9583333333333334
21,1831,24,24,1.0
22,1833,24,24,1.0
23,1838,24,24,1.0
24,1881,24,24,1.0
25,1883,24,24,1.0
26,1888,24,23,0.9583333333333334
27,3111,24,24,1.0
28,3113,24,24,1.0
29,3118,24,24,1.0
30,3131,24,24,1.0
31,3133,24,24,1.0
32,3138,24,24,1.0
33,3181,24,24,1.0
34,3183,24,24,1.0
35,3188,24,24,1.0
36,3311,24,24,1.0
37,3313,24,24,1.0
38,3318,24,24,1.0
39,3331,24,24,1.0
40,3333,24,23,0.9583333333333334
41,3338,24,23,0.9583333333333334
42,3381,24,24,1.0
43,3383,24,23,0.9583333333333334
44,3388,24,22,0.9166666666666666
45,3811,24,24,1.0
46,3813,24,24,1.0
47,3818,24,24,1.0
48,3831,24,24,1.0
49,3833,24,23,0.9583333333333334
50,3838,24,22,0.9166666666666666
51,3881,24,23,0.9583333333333334
52,3883,24,24,1.0
53,3888,24,23,0.9583333333333334
54,8111,24,23,0.9583333333333334
55,8113,24,23,0.9583333333333334
56,8118,24,23,0.9583333333333334
57,8131,24,23,0.9583333333333334
58,8133,24,23,0.9583333333333334
59,8138,24,24,1.0
60,8181,24,23,0.9583333333333334
61,8183,24,23,0.9583333333333334
62,8188,24,23,0.9583333333333334
63,8311,24,24,1.0
64,8313,24,24,1.0
65,8318,24,24,1.0
66,8331,24,23,0.9583333333333334
67,8333,24,22,0.9166666666666666
68,8338,24,21,0.875
69,8381,24,23,0.9583333333333334
70,8383,24,21,0.875
71,8388,24,21,0.875
72,8811,24,23,0.9583333333333334
73,8813,24,23,0.9583333333333334
74,8818,24,23,0.9583333333333334
75,8831,24,23,0.9583333333333334
76,8833,24,21,0.875
77,8838,24,22,0.9166666666666666
78,8881,24,23,0.9583333333333334
79,8883,24,22,0.9166666666666666
80,8888,24,23,0.9583333333333334
