set,idx,true,pred
correct,0,"(1, 1, 1)","(1, 1, 1)"
correct,3,"(1, 1, 3)","(1, 1, 3)"
correct,6,"(1, 1, 9)","(1, 1, 9)"
correct,9,"(1, 3, 1)","(1, 3, 1)"
correct,12,"(1, 3, 3)","(1, 3, 3)"
correct,15,"(1, 3, 9)","(1, 3, 9)"
correct,18,"(1, 9, 1)","(1, 9, 1)"
correct,21,"(1, 9, 3)","(1, 9, 3)"
wrong,1,"(1, 1, 1)","(1, 1, 9)"
wrong,4,"(1, 1, 3)","(1, 1, 9)"
wrong,26,"(1, 9, 9)","(1, 9, 1)"
wrong,31,"(3, 1, 3)","(3, 1, 9)"
wrong,33,"(3, 1, 9)","(1, 1, 9)"
wrong,36,"(3, 3, 1)","(1, 3, 1)"
wrong,45,"(3, 9, 1)","(1, 9, 1)"
wrong,46,"(3, 9, 1)","(3, 3, 1)"
